ENS_GENEID	geneSymbol
ENSRNOG00000044505	5S_rRNA
ENSRNOG00000056196	U6
ENSRNOG00000058043	7SK
ENSRNOG00000027152	N4bp2
ENSRNOG00000023430	2310003L06Rik
ENSRNOG00000060106	AABR07016722.2
ENSRNOG00000025923	Zmiz2
ENSRNOG00000039504	LOC360919
ENSRNOG00000002117	Barhl2
ENSRNOG00000002112	Zfp644
ENSRNOG00000055338	U6
ENSRNOG00000013930	Rnf4
ENSRNOG00000043813	AABR07014478.1
ENSRNOG00000053682	U1
ENSRNOG00000053683	AABR07016703.1
ENSRNOG00000048891	Prr14l
ENSRNOG00000060804	AABR07016731.2
ENSRNOG00000056162	Mrfap1
ENSRNOG00000003428	Rufy3
ENSRNOG00000055684	Wap
ENSRNOG00000046536	LOC690700
ENSRNOG00000002771	Ereg
ENSRNOG00000056561	AABR07016722.1
ENSRNOG00000012534	Mfsd10
ENSRNOG00000010598	Hs3st1
ENSRNOG00000005108	Wfs1
ENSRNOG00000058176	AABR07015320.1
ENSRNOG00000026134	AABR07015180.1
ENSRNOG00000008421	Klhl5
ENSRNOG00000002361	Prkg2
ENSRNOG00000002360	Gabrg1
ENSRNOG00000034366	5S_rRNA
ENSRNOG00000005700	Nsg1
ENSRNOG00000049270	Ppp2r3b
ENSRNOG00000028423	Otop1
ENSRNOG00000052854	AABR07014132.1
ENSRNOG00000055494	AABR07014161.2
ENSRNOG00000045749	LOC100361879
ENSRNOG00000001957	ste2
ENSRNOG00000001951	Csn3
ENSRNOG00000001950	Cabs1
ENSRNOG00000052148	AABR07016589.1
ENSRNOG00000052142	Ahsa2
ENSRNOG00000052143	AABR07014161.1
ENSRNOG00000057537	SNORA5
ENSRNOG00000047876	LOC689986
ENSRNOG00000061727	AABR07015647.2
ENSRNOG00000060186	SNORA17
ENSRNOG00000050954	AABR07014016.1
ENSRNOG00000054903	AABR07014690.1
ENSRNOG00000002940	Ankrd17
ENSRNOG00000003712	Smek2
ENSRNOG00000003718	Ambn
ENSRNOG00000002199	Tmem165
ENSRNOG00000002194	Coq2
ENSRNOG00000002196	Ociad2
ENSRNOG00000002191	LOC498368
ENSRNOG00000002192	Rell1
ENSRNOG00000054395	AC114452.1
ENSRNOG00000048778	RGD1559999
ENSRNOG00000055511	SNORA70
ENSRNOG00000040210	Vom2r69
ENSRNOG00000040213	AABR07014114.1
ENSRNOG00000007349	Ascc2
ENSRNOG00000051604	U6
ENSRNOG00000034513	5S_rRNA
